"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GRIA2",1.56956632227392e-06,-0.205150510636136,0.768,0.812,0.0528849676626975
"DBP",1.57882771458429e-06,0.882929716761795,0.071,0.036,0.053197021015203
"OAT",1.58950070426257e-06,0.53538268362894,0.206,0.145,0.0535566367294229
"MYT1L",1.60744149616934e-06,0.329215892794645,0.465,0.392,0.0541611337719299
"PIK3C3",1.62511975894479e-06,-0.703050742196669,0.112,0.166,0.0547567851578858
"ADAM11",1.63252986322761e-06,-0.384626963121397,0.208,0.28,0.0550064612115912
"NRIP2",1.64841060712904e-06,1.63987534872194,0.036,0.013,0.0555415469966059
"THY1",1.65935436732923e-06,0.232142593167613,0.682,0.626,0.055910286052791
"MGLL",1.7022108443861e-06,-0.477133648537028,0.156,0.219,0.0573542921907454
"RNFT2",1.71027067496793e-06,-1.00087831534692,0.036,0.074,0.0576258601223693
"PHC1",1.7156769972036e-06,-0.852083440004882,0.07,0.117,0.0578080207437779
"TBCB",1.72082400229534e-06,0.614060377730599,0.21,0.15,0.0579814439333391
"RP11-480C16.1",1.81855974169896e-06,-0.449820188618898,0.214,0.281,0.0612745519368049
"GMFB",1.84133713929632e-06,0.539734338749773,0.239,0.177,0.0620420135714503
"GPATCH2L",1.89832966746984e-06,-0.600015133214021,0.158,0.218,0.0639623198157287
"HRH2",1.89995998424271e-06,-0.851516320775224,0.073,0.12,0.064017251709074
"TMSB10",1.90431071239866e-06,0.250703096456159,0.595,0.514,0.0641638451435604
"PREPL",1.90704599283974e-06,0.257243572057635,0.656,0.587,0.0642560076827421
"PTCD3",1.9271278670906e-06,-0.600056666901896,0.156,0.213,0.0649326463537507
"MTPN",2.00098303292947e-06,0.478692576829641,0.318,0.253,0.0674211223115256
"TRIO",2.06068729633623e-06,-0.464529333652933,0.202,0.266,0.069432797762753
"PPWD1",2.11144897120387e-06,-0.948988647134678,0.046,0.086,0.0711431616357433
"MDM4",2.14512245946503e-06,-0.563495254563069,0.208,0.271,0.0722777561492147
"NSD1",2.19439728456015e-06,-0.487785476220311,0.162,0.223,0.0739380221059696
"ZRANB2",2.26894460639612e-06,-0.317145353083477,0.417,0.484,0.0764498195679109
"TSC1",2.28341129321907e-06,-0.600330482397947,0.118,0.176,0.0769372601137235
"AGAP3",2.42020738190868e-06,0.403424548735926,0.337,0.269,0.0815464675260312
"GALR1",2.43016136036223e-06,-1.98071361323735,0.007,0.028,0.0818818568760449
"PRKACB",2.64020657462579e-06,0.344512640447752,0.511,0.448,0.0889591203254413
"NEIL1",2.65226798255146e-06,-0.590271429067738,0.141,0.199,0.0893655174040889
"NEUROD6",2.73904848229181e-06,-0.814428469481693,0.047,0.087,0.0922894995623403
"HNRNPM",2.77952670672907e-06,0.501905154576016,0.205,0.145,0.0936533728565294
"PROX1",2.82385308060878e-06,1.61288773312674,0.029,0.008,0.0951469056980321
"KCNH3",2.93707158007657e-06,-0.455264534071412,0.255,0.319,0.0989616898191
"MAP3K9",2.95095555492406e-06,-0.425720447467448,0.128,0.187,0.0994294964676114
"POU2F2",2.96841013580414e-06,-1.03727375826557,0.06,0.103,0.100017611115785
"EXOC3-AS1",2.9834420447347e-06,-1.78043279957796,0.011,0.036,0.100524096255291
"RALGDS",3.01872629364663e-06,-0.437479611964897,0.166,0.23,0.101712963738129
"ERCC6L2",3.05112474699635e-06,-0.696597632474953,0.105,0.158,0.102804597225295
"TRAK2",3.06508415256431e-06,-0.628934819715578,0.118,0.173,0.103274945436502
"RTF1",3.08829571966569e-06,0.30645519167426,0.512,0.446,0.104057035978416
"SPON2",3.21654470845302e-06,-1.78884409911274,0.012,0.037,0.108378257406616
"VGF",3.27110032184552e-06,-0.97254552776294,0.031,0.065,0.110216454244263
"TRA2B",3.27480469194303e-06,-0.50648762663033,0.195,0.256,0.110341269290328
"PCNT",3.34524964676927e-06,-0.640760958393601,0.165,0.225,0.112714841598244
"CHN1",3.39212021149508e-06,0.145459162406253,0.835,0.813,0.114294098406115
"RSRC1",3.44248421752951e-06,0.747986085141964,0.191,0.139,0.115991063225439
"RPS3A",3.52108974799611e-06,-0.642271156243978,0.112,0.165,0.118639597968981
"PTGES3",3.57743072539216e-06,0.51554929360227,0.179,0.124,0.120537950861363
"ARHGEF2",3.57869699530548e-06,-0.664878546426592,0.107,0.159,0.120580616559823
"HRK",3.66785252256655e-06,-0.908185298608799,0.046,0.085,0.123584622895357
"GRASP",3.66952350484252e-06,-1.1331915134092,0.03,0.063,0.123640924972164
"RP11-138A9.1",3.80820908312814e-06,-0.727304970526262,0.1,0.15,0.128313796846919
"NRP1",4.10992702374933e-06,-0.720323661793569,0.053,0.095,0.13847988113821
"NGFRAP1",4.15500917095519e-06,0.249743410285923,0.522,0.449,0.139998879006164
"KCNT1",4.27508827355686e-06,-0.350395891696344,0.321,0.39,0.144044824289225
"ZADH2",4.27890193416615e-06,-0.58156540825731,0.117,0.17,0.144173321769794
"PLEC",4.29841459504959e-06,-0.422113991345182,0.219,0.287,0.144830781365601
"HMGN1",4.52210829807068e-06,-0.718208903006153,0.101,0.151,0.152367916995193
"GPX4",4.60138192548366e-06,0.407629946193506,0.324,0.259,0.155038962597246
"UBL3",4.61096494224193e-06,0.503008710222003,0.241,0.181,0.1553618527639
"HPCA",4.71804887836705e-06,0.633645985212633,0.176,0.124,0.158969938907699
"ZNF655",4.76485797562526e-06,-0.572738903977105,0.105,0.158,0.160547124630717
"SHANK2",4.79542679842026e-06,-0.539373260191752,0.161,0.219,0.161577110545972
"LRRC4B",4.98415675371997e-06,0.522534402976748,0.307,0.243,0.167936177659841
"KCNA1",5.00163640142908e-06,-0.568009327743802,0.085,0.134,0.168525136909752
"ARHGAP21",5.05738074155429e-06,-0.544501739477627,0.274,0.334,0.17040338670593
"DYNLL2",5.09607355052458e-06,0.43461332701876,0.332,0.268,0.171707102211375
"N4BP2L2",5.11553081807509e-06,-0.266551413742284,0.62,0.668,0.172362695384222
"VPS53",5.14071795142605e-06,-0.541107781395542,0.162,0.22,0.173211350655349
"RPS17",5.20931205794689e-06,-0.53290778420343,0.15,0.208,0.175522560480462
"ZNF106",5.31549150793621e-06,-0.479095629020273,0.166,0.226,0.179100170868403
"BAHCC1",5.32684099104193e-06,-0.917237532970928,0.035,0.069,0.179482580352167
"CYHR1",5.33351931793306e-06,-0.39926386738411,0.219,0.284,0.179707599898437
"UBN2",5.69799663116299e-06,-0.458494521958661,0.186,0.248,0.191988298490406
"WIPF2",5.71161493581947e-06,-0.552586680800526,0.146,0.205,0.192447153647501
"SLC12A2",6.14975416042856e-06,-0.751499000185146,0.101,0.15,0.20720981668148
"EVL",6.16923686274719e-06,-0.26801648903204,0.553,0.617,0.207866266853404
