"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GGA2",3.01809697044946e-12,-0.302198358147515,0.102,0.139,1.01691759322324e-07
"SETD2",3.02640295637081e-12,-0.258320955429273,0.152,0.196,1.01971621211958e-07
"PPIP5K1",3.06887751855766e-12,-0.528005843594801,0.059,0.088,1.03402759110282e-07
"CBR4",3.09171557487355e-12,-0.370013223286451,0.079,0.111,1.04172264579789e-07
"COA6",3.10202937935906e-12,-0.517965239409325,0.053,0.08,1.04519777908124e-07
"STT3B",3.20594435285833e-12,-0.406838670281565,0.088,0.122,1.08021089025208e-07
"VPS37B",3.22191073806681e-12,-0.538348213773493,0.042,0.067,1.08559060408423e-07
"CYP46A1",3.35333500171634e-12,-0.198698625752018,0.253,0.304,1.1298726954783e-07
"NUBP1",3.36007388147327e-12,1.14750569889064,0.03,0.015,1.1321432936236e-07
"ZNF7",3.42943822229753e-12,-0.504676378728092,0.045,0.071,1.15551491462093e-07
"DNAJC24",3.44535863424723e-12,-0.506563873169532,0.035,0.059,1.16087913822326e-07
"TXNDC15",3.44827870189068e-12,-0.695884910971149,0.032,0.055,1.16186302581505e-07
"LATS1",3.45752884804439e-12,-0.37968280019458,0.07,0.102,1.16497977006008e-07
"AP4M1",3.48997915920592e-12,-0.735344119099627,0.036,0.06,1.17591357790284e-07
"RBMS1",3.49746334661724e-12,-0.280422487168653,0.091,0.126,1.17843530000921e-07
"LRRC16A",3.55357254615939e-12,-0.48691722222726,0.066,0.097,1.19734073370295e-07
"KDM5B",3.63561470355802e-12,-0.351726548244795,0.08,0.113,1.22498401821684e-07
"LRRC57",3.72541956533205e-12,-0.471233808002794,0.063,0.092,1.25524286834298e-07
"OCRL",3.7584965373858e-12,0.631562554760694,0.132,0.1,1.26638782330677e-07
"ARHGAP44",3.79668121269258e-12,-0.249607101396185,0.122,0.162,1.27925376780464e-07
"PTGES3L",3.84915215351414e-12,-1.52633089318925,0.006,0.018,1.29693332660505e-07
"DDI2",3.85700951989509e-12,-0.335576179778924,0.066,0.097,1.29958078763345e-07
"FOXRED1",4.04250483578713e-12,-0.277251295355658,0.104,0.141,1.36208157937012e-07
"DGCR9",4.1250542970518e-12,-0.872654157864889,0.024,0.044,1.38989579484863e-07
"ZSCAN30",4.15549565595454e-12,-0.561100708625212,0.047,0.074,1.40015270631732e-07
"CDK13",4.19247619283115e-12,-0.276063244167114,0.125,0.164,1.41261292841253e-07
"TPGS1",4.26933611093481e-12,1.03578679761291,0.041,0.023,1.43851010921838e-07
"MYO19",4.39953790451587e-12,-0.595176408527192,0.038,0.062,1.48238030154758e-07
"ZNF148",4.42202864914327e-12,-0.265363615142213,0.164,0.209,1.48995833304233e-07
"CALY",4.42339140759011e-12,0.414747547334691,0.282,0.242,1.49041750087341e-07
"ZNF154",4.42988091754559e-12,-0.763458749256862,0.022,0.041,1.49260407635781e-07
"PRRT2",4.48461164718893e-12,-0.167293543972984,0.287,0.343,1.51104504840384e-07
"C5orf45",4.55848414063275e-12,-0.404948888471167,0.101,0.137,1.5359356463448e-07
"ATCAY",4.58012769191056e-12,-0.141834848329335,0.261,0.318,1.54322822451235e-07
"COX11",4.71695520100143e-12,-0.498108656870357,0.066,0.096,1.58933088542542e-07
"NPAS1",4.75599238767889e-12,1.32390318641952,0.035,0.018,1.60248407510452e-07
