"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KDM4A",6.53012939159149e-08,-0.724782940312503,0.061,0.092,0.00220026179720284
"RAPGEFL1",6.6904368410866e-08,-0.446915550759816,0.241,0.282,0.00225427578923572
"RNF41",6.8419329167084e-08,0.371164111111998,0.155,0.115,0.00230532087695573
"FAM96B",6.90270008610049e-08,0.341781092387601,0.174,0.131,0.0023257957670107
"CCDC106",6.90851325677246e-08,0.368724120782437,0.111,0.076,0.00232775445673691
"RALY",6.9319331214981e-08,0.442857692416454,0.086,0.056,0.00233564554595757
"LINC01123",7.00994311718532e-08,0.610471221476079,0.073,0.046,0.00236193023390442
"DMPK",7.01304845678714e-08,-0.647191876437395,0.062,0.093,0.00236297654702986
"ZBTB16",7.03712510482978e-08,-0.576344364495861,0.124,0.164,0.00237108893282135
"ANKRD9",7.06085892542715e-08,0.736982292399669,0.054,0.03,0.00237908580633342
"DNAJC5G",7.08461097137858e-08,-1.69885495207503,0.011,0.027,0.0023870888206963
"SLX4",7.09221552603343e-08,-0.929142205078364,0.044,0.072,0.0023896510993417
"AHSA2",7.19450503608019e-08,-0.715707009783846,0.099,0.134,0.00242411652685686
"PPID",7.23020837587299e-08,0.404551685550592,0.139,0.101,0.00243614641016665
"C7orf50",7.2411888169032e-08,0.265881668619073,0.196,0.149,0.00243984615996737
"CC2D1A",7.24291135591577e-08,-0.377122508717223,0.26,0.304,0.00244042655226226
"CHFR",7.43296364651231e-08,-0.702924190221738,0.065,0.097,0.00250446277105586
"RHOT2",7.58182571853089e-08,-0.383633971995394,0.297,0.34,0.0025546203576018
"ENSA",7.62324869926031e-08,0.237173278511269,0.328,0.271,0.00256857741672877
"BAIAP2",7.72220607230294e-08,-0.222638439284017,0.506,0.539,0.00260192011400175
"SLC2A13",7.72813174494273e-08,0.220816561968428,0.338,0.28,0.002603916710141
"ALDH2",7.78405941936011e-08,0.449193593635176,0.089,0.059,0.0026227609807592
"YPEL5",7.82381960618132e-08,0.311053425708881,0.215,0.167,0.00263615777810673
"CDK5",7.85482032801276e-08,0.490400971212139,0.11,0.077,0.00264660316132062
"MARK3",7.91376078389081e-08,-0.373107107342648,0.306,0.349,0.00266646255852417
"C11orf58",7.96503414675669e-08,-0.377096805180341,0.269,0.312,0.0026837386054082
"CALR",7.99944394993149e-08,0.297252705948633,0.169,0.126,0.00269533264448992
"COA6",8.00224000706651e-08,-0.578332776751546,0.111,0.149,0.00269627474798099
"IFIT1",8.00970805828946e-08,0.520274820452904,0.104,0.071,0.00269879103316005
"RPL18A",8.02511149694495e-08,0.194452314378034,0.358,0.297,0.00270398106778063
"CYB5R3",8.05435184695716e-08,0.325493732847012,0.129,0.092,0.00271383331131374
"CSE1L",8.11954886024183e-08,0.461820679758326,0.113,0.079,0.00273580079296988
"ACAP3",8.2242573897519e-08,-0.269943944551759,0.455,0.488,0.002771081284903
"CFAP20",8.33734569916585e-08,0.594305876091199,0.07,0.043,0.00280918525987694
"PVRL3",8.35181622611017e-08,-0.698970289276561,0.079,0.112,0.00281406095922556
"CFAP74",8.35827475222497e-08,-1.00869997763961,0.027,0.049,0.00281623709501468
"DUS1L",8.54550005241251e-08,-0.56223937635744,0.141,0.18,0.00287932078765987
"ENDOV",8.57610395106359e-08,-0.520536284209239,0.113,0.151,0.00288963246527136
"NUDC",8.6073312555127e-08,0.25568599572822,0.238,0.187,0.00290015419323245
"NECAB2",8.63419492449801e-08,0.378786260814116,0.102,0.069,0.00290920563786036
"SPR",8.69252412563421e-08,1.24048989050886,0.023,0.009,0.00292885907889119
"LAMTOR5",8.72117826461302e-08,0.3194522685718,0.162,0.12,0.00293851380447871
"NBPF12",9.09767335881495e-08,0.3344495064864,0.117,0.082,0.00306537006151911
"RAP1A",9.12456624883016e-08,0.527301926123503,0.084,0.055,0.00307443135188083
"SAT1",9.27245610049168e-08,-0.291002118570787,0.406,0.441,0.00312426135849967
"TIMP2",9.50033962620371e-08,0.277633062048314,0.161,0.118,0.00320104443365308
"PC",9.9452719812284e-08,0.815643879417204,0.058,0.035,0.0033509599413551
"DMTF1",1.00507637172607e-07,-0.554872636826168,0.182,0.221,0.00338650432689381
"STAT2",1.01151732466413e-07,-0.600118073165873,0.118,0.156,0.00340820647372332
"SLC17A6",1.01952763250582e-07,0.951115448962407,0.037,0.019,0.0034351964049651
"PSMB3",1.02316423123078e-07,0.357419197662625,0.123,0.087,0.003447449560709
"EFHC1",1.02500727349969e-07,-0.838916357729908,0.049,0.076,0.00345365950732987
"ARHGEF10",1.03263705329992e-07,-0.910837923456397,0.04,0.066,0.00347936728738874
