"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS18",4.75034318787915e-44,-0.560294804720103,0.384,0.496,1.600580633724e-39
"TSPYL1",6.56606776743468e-44,0.282190062430453,0.768,0.67,2.21237087355944e-39
"DENND3",1.05945977418045e-43,-1.0191927144264,0.088,0.174,3.56974376312361e-39
"RPL7",1.21398270582363e-43,-0.579825945125256,0.37,0.481,4.09039332900215e-39
"MTRNR2L1",1.3790747893722e-43,5.40693012610919,0.03,0.001,4.64665459531068e-39
"DNAJC1",2.78805742011825e-43,0.845407032249834,0.187,0.1,9.39408067134642e-39
"NPTX2",3.09941119004472e-43,-1.80336720472344,0.023,0.078,1.04431560637367e-38
"PRELP",3.68033418623234e-43,1.55572519592467,0.088,0.031,1.24005180070912e-38
"NEFM",6.68929532382212e-43,-0.648709250959885,0.263,0.378,2.25389116640862e-38
"GAP43",1.72406278143511e-42,-0.448569857279419,0.571,0.648,5.80905713576744e-38
"SERF2",1.80680720520426e-42,0.466407978182872,0.517,0.422,6.08785619721524e-38
"CKMT1B",2.01528121503158e-42,-0.664386521543652,0.22,0.331,6.79028852592741e-38
"LAGE3",2.03659252510129e-42,0.771281551257328,0.236,0.143,6.86209485407628e-38
"STRBP",2.67749623958614e-42,-0.489445808239904,0.397,0.513,9.02155582966154e-38
"SSBP3",2.71377215736063e-42,0.350365622285779,0.71,0.634,9.14378390701091e-38
"STMN4",3.15356573124075e-42,0.475881367429939,0.549,0.452,1.06256243748426e-37
"AC159540.1",4.11352438123037e-42,-0.662265001134277,0.225,0.338,1.38601090501176e-37
"PSIP1",5.53332900469749e-42,0.541075688858773,0.455,0.353,1.86439987484277e-37
"COL5A2",6.2647258200956e-42,-0.637230781332749,0.109,0.201,2.11083671782301e-37
"KMT2A",6.6944413721154e-42,-0.449003634468141,0.539,0.634,2.25562507592056e-37
"TLE4",1.03985525109659e-41,0.692202227981051,0.295,0.198,3.50368828304486e-37
"MYO6",1.41258836429441e-41,-0.806948452969658,0.136,0.231,4.75957523465358e-37
"ZRANB2",2.82400514692992e-41,-0.438451962800676,0.467,0.575,9.51520294206569e-37
"KTN1",6.79563729361244e-41,0.398880608412033,0.516,0.405,2.28972202970977e-36
"PNISR",9.82347672726805e-41,-0.337374583386149,0.819,0.844,3.3099222484857e-36
"RBM25",1.37806941341152e-40,-0.427775677524653,0.507,0.61,4.64326708154877e-36
"ELK1",1.64196453115941e-40,0.900482191524989,0.207,0.123,5.53243529128852e-36
"YWHAE",1.74256770199493e-40,0.402229317818153,0.62,0.532,5.8714076151017e-36
"DHX36",1.9858072482769e-40,-0.611607989462354,0.253,0.364,6.6909789423442e-36
"GABRB2",2.34558936754454e-40,-0.325354808301846,0.74,0.798,7.90322881500456e-36
"PRDX2",2.8621709445741e-40,0.535237014740537,0.459,0.363,9.64379878064798e-36
"ZBTB16",3.70470837945814e-40,-0.77943328490945,0.161,0.259,1.24826444137463e-35
"DBP",5.91333938121244e-40,1.19578645516475,0.139,0.07,1.99244057110572e-35
"ATP6V1F",6.83873839722583e-40,0.496444256844916,0.48,0.39,2.30424451556127e-35
"LMO4",1.27822481164353e-39,-0.359623438191087,0.719,0.778,4.30685068035169e-35
"RTN1",2.34582264120526e-39,0.24928734396595,0.853,0.783,7.90401480727701e-35
"TGFBR3L",3.48797824476798e-39,0.756645029575392,0.186,0.103,1.17523938979212e-34
"ABHD8",3.98628327450274e-39,0.734985979899167,0.245,0.154,1.34313828651095e-34
"TRIM33",4.50546379489957e-39,-0.537103333038735,0.308,0.422,1.51807097105346e-34
"LINC00936",6.95740916036732e-39,-0.724658078788446,0.125,0.217,2.34422944249416e-34
"SERP2",8.53838171598603e-39,0.708436541825086,0.291,0.198,2.87692233538433e-34
"ARHGAP26",8.89589116408949e-39,-0.601313085522598,0.242,0.35,2.99738156882831e-34
"PNMA3",1.00191095116854e-38,-0.442205733361722,0.347,0.468,3.37583875886728e-34
"FTL",1.39457195464164e-38,0.301442630133125,0.709,0.629,4.69887074396955e-34
"PTK2B",2.0453629747698e-38,-0.550223776580988,0.288,0.402,6.89164600718935e-34
"ZKSCAN1",2.14651409548569e-38,-0.591200428139286,0.258,0.367,7.23246459332948e-34
"MNAT1",2.32382631265402e-38,-0.65320831985057,0.153,0.252,7.82990037785644e-34
"RALGDS",3.70131678939167e-38,-0.664369826830605,0.182,0.284,1.24712167901763e-33
"SAT2",4.06124587772419e-38,-0.541424030426029,0.31,0.422,1.36839618604039e-33
"SETD5",9.09630182589535e-38,-0.585425201066463,0.259,0.367,3.06490793721718e-33
"PEG3",1.44853462534221e-37,0.354975104745873,0.667,0.581,4.88069256662804e-33
"CTSD",1.76862275514325e-37,0.490431977130464,0.456,0.359,5.95919751117966e-33
"COX6A1",1.85301528689562e-37,0.511128734992925,0.476,0.391,6.2435497076661e-33
"CABP1",2.07175770921088e-37,-0.322054655200753,0.697,0.776,6.98058042541514e-33
"TUBB",2.47840016434575e-37,0.39266023212428,0.566,0.474,8.35072151374656e-33
