"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CCDC183",0.861032231347925,0.273793660524614,0.012,0.015,1
"RHNO1",0.861032231347925,0.263819951202789,0.012,0.015,1
"RECQL",0.861032231347925,0.120066210509157,0.012,0.015,1
"GNS",0.861032231347925,-0.531920734289359,0.012,0.015,1
"ZNF26",0.861032231347925,-0.156143883050694,0.012,0.015,1
"MRPL46",0.861032231347925,0.228062373497055,0.012,0.015,1
"SLC2A4",0.861032231347925,0.100880846977193,0.012,0.015,1
"TP53",0.861032231347925,-0.289134280883513,0.012,0.015,1
"GPATCH1",0.861032231347925,0.187919496826717,0.012,0.015,1
"ZNF417",0.861032231347925,-0.342246878801904,0.012,0.015,1
"FAT3",0.861220779238472,-0.416255506761428,0.111,0.114,1
"HNRNPUL1",0.861498870120724,-0.255844205511344,0.049,0.054,1
"ZFHX3",0.861721293008527,-0.432957668066756,0.062,0.066,1
"TSPYL4",0.86198993309576,0.2462576751295,0.062,0.057,1
"ANKIB1",0.86198993309576,0.185136268592029,0.062,0.057,1
"GPS2",0.86198993309576,0.159832978468303,0.062,0.057,1
"PIAS4",0.86252126171633,0.226767597030326,0.074,0.069,1
"SF3B2",0.862720542344594,-0.308863794597116,0.099,0.102,1
"NFIA",0.863094944129876,0.148852191280373,0.309,0.306,1
"SGPL1",0.863319715101274,-1.42374818381863,0.025,0.021,1
"TTC32",0.863319804770756,-1.18380312423761,0.025,0.021,1
"GLTSCR1L",0.863319804770756,-1.2809986132563,0.025,0.021,1
"CNPY3",0.863319804770756,-0.70183207805275,0.025,0.021,1
"C6orf3",0.863319804770756,-0.668975525744776,0.025,0.021,1
"RPA3",0.863319804770756,-0.711550685002853,0.025,0.021,1
"ALDH1A1",0.863319804770756,-1.78067061950744,0.025,0.021,1
"WBP11",0.863319804770756,-1.1225379681286,0.025,0.021,1
"HYPK",0.863319804770756,-0.832135941960133,0.025,0.021,1
"EHD2",0.863319804770756,-1.19618165067359,0.025,0.021,1
"ZNF280B",0.863319804770756,-1.62974225433964,0.025,0.021,1
"TMEM155",0.863488562964729,-0.17006895398666,0.037,0.033,1
"BID",0.863488562964729,0.115280478939493,0.037,0.033,1
"KCNJ4",0.863488562964729,-0.334507056029411,0.037,0.033,1
"PPP2CB",0.863497275712169,-0.415165840402624,0.111,0.099,1
"NAPRT",0.863592507767013,-0.112718266766123,0.049,0.054,1
"ETFDH",0.863622853708411,-0.415561633454427,0.062,0.066,1
"FIGN",0.863773128513163,-0.425405369848594,0.086,0.09,1
